City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Atlantic Beach,US,30.3344,-81.3987,96.01,60,75,16.11,broken clouds
108,Alta Floresta,BR,-9.8756,-56.0861,89.33,30,16,0.96,few clouds
109,Point Fortin,TT,10.1833,-61.6833,82.89,82,100,14.88,overcast clouds
110,Sola,VU,-13.8833,167.55,81.27,83,75,6.91,broken clouds
111,Sinnamary,GF,5.3833,-52.95,80.83,77,93,7.43,overcast clouds
112,Georgetown,MY,5.4112,100.3354,76.95,94,40,2.3,scattered clouds
113,Kamaishi,JP,39.2667,141.8833,71.22,96,100,3.56,light rain
114,Zadar,HR,44.1197,15.2422,72.21,53,0,2.3,clear sky
115,Mar Del Plata,AR,-38.0023,-57.5575,50.09,65,40,12.66,scattered clouds
116,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,82,80,18.07,broken clouds
117,Viedma,AR,-40.8135,-62.9967,53.15,39,5,15.57,clear sky
118,Glens Falls,US,43.3095,-73.644,85.28,72,7,12.71,clear sky
119,Dikson,RU,73.5069,80.5464,38.77,86,13,2.37,few clouds
120,Torbay,CA,47.6666,-52.7314,68.77,75,40,14.97,scattered clouds
121,Avarua,CK,-21.2078,-159.775,75.25,64,100,8.05,overcast clouds
122,Ilulissat,GL,69.2167,-51.1,44.62,87,75,2.3,broken clouds
123,Saint-Louis,SN,16.3333,-15.0,89.24,47,12,18.97,few clouds
124,Chuy,UY,-33.6971,-53.4616,44.82,75,43,5.73,scattered clouds
125,Kichera,RU,55.9375,110.0997,55.53,81,92,1.28,overcast clouds
126,Victoria,HK,22.2855,114.1577,85.32,84,8,5.01,clear sky
127,Tessalit,ML,20.1986,1.0114,94.66,23,55,9.42,broken clouds
128,Portland,US,45.5234,-122.6762,93.61,36,20,8.05,few clouds
129,Huayucachi,PE,-12.1333,-75.2333,62.65,43,83,7.29,broken clouds
130,Clyde River,CA,70.4692,-68.5914,43.03,81,20,10.36,few clouds
131,Trairi,BR,-3.2778,-39.2689,78.66,80,77,11.7,broken clouds
132,Qasigiannguit,GL,68.8193,-51.1922,44.85,86,98,3.74,overcast clouds
133,Port Alfred,ZA,-33.5906,26.891,58.32,70,0,8.93,clear sky
134,Krasnyy Chikoy,RU,50.3643,108.7512,50.97,90,6,2.55,clear sky
135,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,56,0,10.36,clear sky
136,Khani,GE,41.9563,42.9566,60.37,95,99,0.78,overcast clouds
